Título,Resumen,Etiquetas,Enlace
The Right Thing To Do,"Hermione felt the pounding in her ears again. She would see him for the first time since the Great Hall, gaunt and stricken at the Slytherin table with his mother clutching his arm. She hadn't meant to look for him. Not in the corridors, not beneath the white sheets of the fallen, not on the way to the Chamber of Secrets with Ron, but she was a stupid girl.","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Harry Potter, Ginny Weasley, Narcissa Black Malfoy, Lucius Malfoy, Ron Weasley, Angst, Unrequited, Eventual Romance, Unresolved Sexual Tension, Post-Canon, HP: EWE, Slow Burn, Blackmail, Pining, Sexual Content, brief mentions of sexual slavery, Co-workers, Idiots in Love, secret feelings",https://archiveofourown.org/works/11472648
Dripping Fingers,"When Harry finds Tom Riddle's diary he does not write 'Hello.' He does not write anything at all. He draws. Tom Riddle falls in love with the artwork._________________Sketch by sketch, drawing by drawing, the ink Harry pours into the diary manifests as creations in Tom's monochrome world.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle, Hermione Granger, Ron Weasley, Petunia Evans Dursley, Dudley Dursley, Bartemius Crouch Jr., Hogwarts Students, Hogwarts Ghosts, Sirius Black, Artist Harry Potter, Lonely Harry Potter, Tom Riddle's Diary, Possessive Tom Riddle, Oblivious Harry, Sad Harry Potter, no bashing of anyone, Canon-Typical Violence, Triwizard Tournament, a severe lack of Dobby, Redemption, Canonical Character Death, Tom Riddle Redemption, Tom Riddle is His Own Warning, Tom Riddle Has Feelings, Eventual Sane Tom Riddle, Angst, Alternate Universe - Canon Divergence, Canon Compliant - Harry Potter and the Philosopher's Stone, Fluff and Angst, Tearjerker, If you read nothing else, Read chapter 16",https://archiveofourown.org/works/25440826?view_full_work=true#kudos
Lumos,Harry never expected to spend eighth year listening to Draco Malfoy wanking.,"Explicit, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger, Theodore Nott, Hogwarts Eighth Year, Room-sharing, wanking, Voyeurism, Frottage, Really so much wanking, Intercrural Sex, kissing in corridors, inter-house fraternisation, Wandless Magic, A little angst, some h/c, Magical Injury, Pining, Jealousy, Enemies to Lovers, Desperation, Inexperience, Premature Ejaculation, First Times, the sexual appetites of teenagers, Community: hd_erised",https://archiveofourown.org/works/8909155
Don't Fuck With Florists (They'll Fuck You Up),"Unsatisfied with his post-war life, Harry decides to get to the root of all of his problems when that root was still working at Borgin and Burkes shop in the late 40s. He’s the Master of Death, damn it, he can do what he wants for once in his life.Tom Riddle isn’t particularly happy about working at a small, dingy shop for magical artifacts, no matter how interesting those artifacts are. He’s even less happy when an insufferable stranger sets up the most obnoxious flower shop right across the street.What follows would be a romantic comedy, if it weren’t for politics.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Tom Riddle, Harry Potter, Mr Borgin (Harry Potter), Time Travel, flower shop, MoD!Harry, 1940s, Don't copy to another site",https://archiveofourown.org/works/7769080
An Issue of Consequence,Draco has woken up in an alternate universe. Or he has woken up utterly insane. Nothing else can possibly explain why Harry Potter suddenly seems to think he's Draco's boyfriend.,"Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Blaise Zabini, Pansy Parkinson, HP: EWE, Hogwarts Eighth Year, Romance, Mystery, Humor, Explicit Sexual Content, Potions",https://archiveofourown.org/works/1439476?view_full_work=true#kudos
Then Comes a Mist and a Weeping Rain,It always rains for Draco Malfoy. Metaphorically. And literally. Ever since he had accidentally Conjured a cloud. A cloud that's ever so cross.,"Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Gregory Goyle, Millicent Bulstrode, Ernie Macmillan, Hermione Granger, Ron Weasley, Humor, Romance, Hogwarts Eighth Year, HP: EWE, Post - Deathly Hallows, Complete",https://archiveofourown.org/works/234222#kudos
Harry Potter and the Shadowed Light,"After the final battle Harry learns some unsettling truths about himself and those who he trusts the most. Forced to come to terms with the revelations, Harry decides to get even with those who've wronged him and embrace who he his by going back to when it all started.","Mature, No Archive Warnings Apply, M/M, F/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter/Voldemort, Harry Potter & Neville Longbottom, Sirius Black/Severus Snape, Lucius Malfoy/Narcissa Black Malfoy, Luna Lovegood & Harry Potter, Draco Malfoy & Harry Potter, Harry Potter, Tom Riddle | Voldemort, Kreacher (Harry Potter), Ron Weasley, Ginny Weasley, Molly Weasley, Arthur Weasley, Hermione Granger, Severus Snape, Albus Dumbledore, Death (Harry Potter), Sirius Black, Remus Lupin, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy, George Weasley, Fred Weasley, Neville Longbottom, Luna Lovegood, Minerva McGonagall, Filius Flitwick, Hannah Abbott, Susan Bones, Blaise Zabini, Pansy Parkinson, Goblins (Harry Potter), Manipulative Dumbledore, Evil Dumbledore, Weasley Bashing, Dark Harry, Good Death Eaters, Good Voldemort, Time Travel, Master of Death Harry Potter, Ravenclaw, Ravenclaw Harry, Do-Over, Independent Harry, Smart Harry, Master of Death, Soul Bond, Hermione Granger Bashing, BAMF!Harry, Time Travel Fix-It, Dumbledore Bashing, Slow Build, Alternate Universe - Canon Divergence, BAMF!Goblins, Good Tom Riddle, Immortal Harry, The Deathly Hallows, Sane Voldemort, Sane Tom Riddle, Good Malfoy Family, Harry Potter is a Horcrux, It may have taken 190000 words but Toms finally back!, Manipulative Albus Dumbledore, Ron Weasley Bashing, Molly Weasley Bashing, Ginny Weasley Bashing, Slow To Update, Sirius Black Lives, Slow Burn",https://archiveofourown.org/works/10404927
Running on Air,Resumen no encontrado,"Teen And Up Audiences, No Archive Warnings Apply, Multi, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry/Ginny, past Draco/Astoria, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Astoria Greengrass, Ginny Weasley, Mystery, Drama, Friendship, Slow Burn, Romance",https://archiveofourown.org/works/3171550/chapters/7089416
House Proud,His house liked Draco Malfoy more than him.,"Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Hermione Granger, Ron Weasley, Kreacher (Harry Potter), Horace Slughorn, Post-War, EWE, Grimmauld Place, Malfoy Manor",https://archiveofourown.org/works/6177703?show_comments=true#comments
Away Childish Things,Harry gets de-aged.  Malfoy has to help him.,"Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Age Regression/De-Aging, Past Child Abuse, Past Malnutrition, Past Neglect, Past Touch Deprivation, Dyslexia, Eating Disorders, Verbal Abuse, Internalized Homophobia, Homophobia, Biphobia, Homophobic Slurs, Pure-blood Bigotry, Pure-blood Slurs, Crying, Grief/Mourning, Off-screen death of a secondary character, the Death is an Implied Suicide, Mommy Issues, Daddy Issues, Toxic Masculinity, Long Hair, Emotional Dysfunction, Age Difference, Blood, Bodyswap (kind of), Love Potion/Spell, Potions Accident, Family, Hurt/Comfort, heavy on the comfort, Endearments, Bacon, salad",https://archiveofourown.org/works/16052816?view_full_work=true#kudos
